,time stamp,shape,type of stimulus
0,1976406.3199698,square,base line
1,1976407.2811518,square,base line
2,1976408.2445332,circle,distractor
3,1976409.2148286,square,base line
4,1976410.1723794,circle,distractor
5,1976411.139232,square,base line
6,1976412.1033939,square,base line
7,1976413.0582808,square,base line
8,1976414.0249578,triangle,target
9,1976414.9947733,square,base line
10,1976415.9586234,circle,distractor
11,1976416.9250881,square,base line
12,1976419.9001651,square,base line
13,1976420.8640572,square,base line
14,1976421.8269759,square,base line
15,1976422.7943583,square,base line
16,1976423.7577471,circle,distractor
17,1976424.7247256,square,base line
18,1976425.7064277,triangle,target
19,1976426.6700935,square,base line
20,1976427.6347063,square,base line
21,1976428.5952214,square,base line
22,1976431.5792004,square,base line
23,1976432.5421086,square,base line
24,1976433.5013357,circle,distractor
25,1976434.467555,square,base line
26,1976435.4366288,square,base line
27,1976436.3980475,square,base line
28,1976437.3684435,square,base line
29,1976438.3288175,circle,distractor
30,1976439.292138,square,base line
31,1976440.2575487,triangle,target
32,1976441.2193384,square,base line
33,1976444.2004066,square,distractor
34,1976445.1623495,square,distractor
35,1976446.1285225,square,distractor
36,1976447.0972614,circle,base line
37,1976448.0614396,square,distractor
38,1976449.0227866,circle,base line
39,1976450.0106932,square,distractor
40,1976450.9737414,square,distractor
41,1976451.9363792,square,distractor
42,1976452.9027101,square,distractor
